PINAR DE CHAMARTIN,1;4;ML1
POZUELO OESTE,ML2
BELGICA,ML2
DOS CASTILLAS,ML2
CAMPUS DE SOMOSAGUAS,ML2
AVENIDA DE EUROPA,ML2
BERNA,ML2
CIUDAD DE LA IMAGEN,ML3
JOSE ISBERT,ML3
CIUDAD DEL CINE,ML3
COCHERAS,ML3
RETAMARES,ML3
MONTEPRINCIPE,ML3
VENTORRO DEL CANO,ML3
PRADO DEL ESPINO,ML3
CANTABRIA,ML3
FERIAL DE BOADILLA,ML3
BOADILLA CENTRO,ML3
NUEVO MUNDO,ML3
SIGLO XXI,ML3
INFANTE DON LUIS,ML3
PUERTA DE BOADILLA,ML3
PLAZA DE ESPAÑA,3;10
ALCORCON,12;C5
CANTOBLANCO UNIVERSIDAD,C4;C4a
COSLADA,7;C2;C7;C8
FUENLABRADA,12;C5
GETAFE CENTRO,12;C4;C4a
LEGANES,12;C5
VILLALBA,C3a;C8;C10
AVENIDA SISTEMA SOLAR,ML4
BULEVAR SUR,ML4
ESTRELLA POLAR NORTE,ML4
ESTRELLA POLAR SUR,ML4
ISABEL II,ML4
JAIME I NORTE,ML4
JAIME I SUR,ML4
JULIO ROMERO DE TORRES,ML4
LA BALLENA,ML4
PARQUE PARLA ESTE,ML4
PLAZA DE TOROS,ML4
POLIGONO INDUSTRIAL CIUDAD DE PARLA,ML4
TIERRA NORTE,ML4
TIERRA SUR,ML4
VENUS NORTE,ML4
VENUS SUR,ML4
